severity_label,id,incident_no,product_type,brand,mode,incident_type,status,service_type,is_failure_type,count_detail,open_datetime,close_datetime,response_datetime,resolved_datetime,open_to_close,open_to_close_hour,open_to_response,open_to_response_hour,response_to_resolved,response_to_resolved_hour,resolved_to_close,resolved_to_close_hour
Major,2127,SR-ES-23-2127,Storage,NetApp,FAS8200 HA System,General Incident,Closed,Incident,false,3,2023-01-11 15:47:00,2023-01-12 20:32:00,2023-01-11 15:55:00,2023-01-12 20:32:00,1 days 04:45:00,28.75,0 days 00:08:00,0.13333333333333333,1 days 04:37:00,28.616666666666667,0 days 00:00:00,0.0
Major,2125,SR-ES-23-2125,Server,HPE,Synergy 12000 CTO Frame,General Incident,Closed,Incident,false,3,2023-01-11 15:21:00,2023-01-12 17:25:00,2023-01-11 15:27:00,2023-01-12 17:25:00,1 days 02:04:00,26.066666666666666,0 days 00:06:00,0.1,1 days 01:58:00,25.966666666666665,0 days 00:00:00,0.0
Cosmatic,2177,SR-ES-23-2177,Software,VMWare,VMware Horizon 8 Advanced Term Edition: 10 Named User Pack100,Software,Closed,Request,false,1,2023-01-11 11:37:00,2023-01-12 09:00:00,2023-01-11 11:43:00,2023-01-12 09:00:00,0 days 21:23:00,21.383333333333333,0 days 00:06:00,0.1,0 days 21:17:00,21.283333333333335,0 days 00:00:00,0.0
Cosmatic,2164,SR-ES-23-2164,Software,Trend Micro,Cloud One - Workload Security (Enterprise) with XDR,Configuration Change,Closed,Request,false,1,2023-01-11 10:56:00,2023-01-11 15:00:00,2023-01-11 10:57:00,2023-01-11 15:00:00,0 days 04:04:00,4.066666666666666,0 days 00:01:00,0.016666666666666666,0 days 04:03:00,4.05,0 days 00:00:00,0.0
Major,2121,SR-ES-23-2121,Server,HPE,SimpliVity 380 Gen10 Node,General Incident,Closed,Incident,false,1,2023-01-11 10:28:00,2023-01-11 23:59:00,2023-01-11 10:33:00,2023-01-11 23:59:00,0 days 13:31:00,13.516666666666667,0 days 00:05:00,0.08333333333333333,0 days 13:26:00,13.433333333333334,0 days 00:00:00,0.0
Major,2120,SR-ES-23-2120,Server,HPE,SimpliVity 380 Gen9 Node,General Incident,Closed,Incident,false,1,2023-01-11 10:28:00,2023-01-12 17:00:00,2023-01-11 10:33:00,2023-01-12 17:00:00,1 days 06:32:00,30.533333333333335,0 days 00:05:00,0.08333333333333333,1 days 06:27:00,30.45,0 days 00:00:00,0.0
Major,2117,SR-ES-23-2117,Server,HPE,SimpliVity 380 Gen9 Node (E5-2698v4),General Incident,Closed,Incident,false,2,2023-01-11 10:27:00,2023-01-12 16:26:00,2023-01-11 10:30:00,2023-01-12 16:26:00,1 days 05:59:00,29.983333333333334,0 days 00:03:00,0.05,1 days 05:56:00,29.933333333333334,0 days 00:00:00,0.0
Major,2118,SR-ES-23-2118,Server,HPE,SimpliVity 380 Gen10 Node,General Incident,Closed,Incident,false,1,2023-01-11 10:27:00,2023-01-11 17:00:00,2023-01-11 10:32:00,2023-01-11 17:00:00,0 days 06:33:00,6.55,0 days 00:05:00,0.08333333333333333,0 days 06:28:00,6.466666666666667,0 days 00:00:00,0.0
Major,2141,SR-ES-23-2141,Server,HPE,DL380 Gen10,Software,Closed,Incident,false,2,2023-01-10 14:45:00,2023-01-11 13:00:00,2023-01-10 15:00:00,2023-01-11 13:00:00,0 days 22:15:00,22.25,0 days 00:15:00,0.25,0 days 22:00:00,22.0,0 days 00:00:00,0.0
Major,2115,SR-ES-23-2115,Server,HPE,SimpliVity 380 Gen10 Node,General Incident,Closed,Incident,false,4,2023-01-10 13:52:00,2023-01-11 23:59:00,2023-01-10 13:59:00,2023-01-11 23:59:00,1 days 10:07:00,34.11666666666667,0 days 00:07:00,0.11666666666666667,1 days 10:00:00,34.0,0 days 00:00:00,0.0
